"company","emissions_ton","revenue_musd","industry","base_year","target_year","num_target_types","emissions1","emissions2","emissions3","emissions4","certified"
"Arla Foods","18,801,000","14,801","Food and Beverage Processing","","","1","19,376,000 (2020)","19,783,000 (2021)","19,102,000 (2022)","18,801,000 (2023)","Yes"
"Arwidsro Fastighets AB","4,042","28","Real Estate","2022.0","2050.0","3","3,493 (2021)","4,042 (2022)","","","Yes"
"Asker Healthcare Group AB","685,602","1,162","Healthcare Equipment and Supplies","","","1","411,868 (2020)","538,392 (2021)","685,602 (2022)","","Yes"
"Assa Abloy AB","16,855,584","13,270","Technology Hardware and Equipment","2019.0","2050.0","3","17,476,099 (2019)","15,252,590 (2020)","18,545,373 (2021)","19,744,483 (2022)","Yes"
"AstraZeneca","6,937,716","45,811","Pharmaceuticals, Biotechnology and Life Sciences","2015.0","2045.0","5","620,817 (2015)"," (2019)","6,186,453 (2021)","6,423,609 (2022)","Yes"
"Atlas Copco AB","250,640,000","16,282","Electrical Equipment and Machinery","","","1","195,416,000 (2019)","233,314,000 (2022)","250,640,000 (2023)","","Yes"
"Atrium Ljungberg AB","11,752","305","Real Estate","","","0","11,456 (2021)","13,436 (2022)","11,752 (2023)","","Yes"
"Attendo","146,000","1,422","","","","0","146,000 (2021)","","","","Yes"
"Autoliv Inc","4,128,000","10,475","Automobiles and Components","","","1","434,000 (2021)","4,130,000 (2022)","4,128,000 (2023)","","Yes"
"Avanza Bank Holding AB","490","324","Banks, Diverse Financials, Insurance","","","2","593 (2021)","296 (2022)","490 (2023)","","Yes"
"Aviva PLC","34,664","59,000","Banks, Diverse Financials, Insurance","","","2","34,664 (2020)","","","","Yes"
"Axfood AB","2,719,922","7,649","Food and Staples Retailing","","","0","41,507 (2021)","2,542,656 (2022)","2,719,922 (2023)","","Yes"
"BBVA-Banco Bilbao Vizcaya","277,604","51,940","","","","0","305,973 (2020)","260,269 (2021)","277,604 (2022)","","Yes"
"BHG Group","28,071","1,334","Consumer Durables, Household and Personal Products","","","0"," (2021)","28,071 (2022)","","","Yes"
"BMW Group","134,699,641","","Automobiles and Components","","","1","131,982,864 (2020)","137,592,164 (2021)","130,743,357 (2022)","134,699,641 (2023)","Yes"
"BP","347,000,000","210,130","","","","0","415,300,000 (2019)","373,100,000 (2020)","339,200,000 (2021)","338,500,000 (2022)","Yes"
"BYD","8,061,970","68,060","","","","0","5,219,112 (2021)","8,061,970 (2022)","","","Yes"
"Baidu","490,840","15,500","","","","0","490,840 (2020)","","","","Yes"
"Bama Fresh Cuts AB","25,323","55","Food and Beverage Processing","","","1","25,323 (2022)","","","","Yes"
"Banco Bradesco","165,284","56,260","","","","0","116,487 (2021)","165,284 (2022)","","","Yes"
"Banco do Brasil S.A.","88,646","53,980","Banks, Diverse Financials, Insurance","","","0","126,558 (2021)","88,646 (2022)","","","Yes"
"Bank of America","3,725,069","133,840","","","","0","4,002,419 (2020)","3,355,147 (2021)","3,725,069 (2022)","","Yes"
"Bank of China","49,183","158,230","","","","0","63,676 (2020)","50,716 (2021)","49,183 (2022)","","Yes"
"Bank of Montreal","95,835","37,560","","","","0","102,736 (2020)","100,261 (2021)","95,835 (2022)","","Yes"
"Bank of New York Mellon","108,341","23,050","","","","0","130,722 (2020)","97,104 (2021)","108,341 (2022)","","Yes"
"Bank of Nova Scotia","118,258","30,700","","","","0","118,258 (2020)","","","","Yes"
"Barclays","142,800","30,930","","","","0","189,304 (2020)","149,800 (2021)","142,800 (2022)","","Yes"
"Bavarian Nordic","97,682","1,025","","","","0","2,556 (2020)","2,087 (2019)","2,507 (2021)","80,253 (2022)","Yes"
"Bayer AG","13,110,000","53,330","Pharmaceuticals, Biotechnology and Life Sciences","","","1","12,180,000 (2021)","13,110,000 (2022)","","","Yes"
"Becton Dickinson","2,971,943","18,200","","","","0","2,971,943 (2020)","","","","Yes"
"Beijer Ref AB","10,738,666","3,032","Trading Companies and Distributors, and Commercial Services and Supplies","","","1","11,391,606 (2021)","11,382,053 (2022)","10,738,666 (2023)","","Yes"
"Betsson AB","8,237","818","Software and Services","","","1","8,237 (2022)","","","","Yes"
"Bilia","212,828","3,387","","","","0","212,828 (2022)","","","","Yes"
"Billerud AB","3,873,359","3,887","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","","","1","4,478,233 (2022)","3,873,359 (2023)","","","Yes"
"BioGaia AB","7,570","108","Pharmaceuticals, Biotechnology and Life Sciences","","","1","1,702 (2020)","6,665 (2021)","7,570 (2022)","","Yes"
"Björn Borg","21,286","83","","","","0","21,286 (2022)","","","","Yes"
"BlackRock","285,234","31,210","","","","0","423,543 (2020)","285,234 (2021)","","","Yes"
"Boliden AB (publ)","842,000","7,408","Mining - Iron, Aluminum, Other Metals","","","1","3,813,000 (2021)","915,000 (2022)","842,000 (2023)","","Yes"
"Bonava AB","362,217","1,251","Homebuilding","","","1","721,969 (2020)","741,407 (2021)","485,792 (2022)","362,217 (2023)","Yes"
"Bonnier Books","1,328","734","Media","","","1","1,464 (2020)","1,375 (2021)","1,328 (2022)","","Yes"
"Boozt","815","731","Retailing","","","3","152 (2021)","754 (2022)","815 (2023)","","Yes"
"Bravida Holding AB","26,199","2,609","Construction and Engineering","","","0","24,466 (2021)","26,199 (2022)","","","Yes"
"Bristol Myers Squibb","2,060,297","45,850","Pharmaceuticals, Biotechnology and Life Sciences","","","0","2,244,138 (2021)","2,060,297 (2022)","","","Yes"
"British American Tobacco","5,925,000","35,320","","","","2","6,128,000 (2020)","5,925,000 (2021)","","","Yes"
"Broadcom Inc.","307,009","34,410","Semiconductors and Semiconductors Equipment","","","0","242,172 (2020)","314,410 (2021)","307,009 (2022)","","Yes"
"Brookfield Corporation","13,582","94,470","","","","0","13,582 (2022)","","","","Yes"
"Bufab AB","844,405","819","Electrical Equipment and Machinery","","","1","976,265 (2022)","844,405 (2023)","","","Yes"
"Bulten AB","157,918","412","Automobiles and Components","","","1","157,918 (2021)","","","","Yes"
"Bure Equity","7,346","","","","","0","7,346 (2022)","","","","Yes"
"CITIC","2,155","91,210","","","","0","2,155 (2021)","","","","Yes"
"CK Hutchison","1,232,047","33,520","","","","0","448,062 (2020)","785,312 (2021)","1,232,047 (2022)","","Yes"
"CNOOC","10,880,000","59,080","","","","0","10,305,000 (2021)","10,880,000 (2022)","","","Yes"
"CTT Systems AB","126","23","Aerospace and Defense","2023.0","2050.0","3","126 (2022)","","","","Yes"
"CVS Health","15,493,599","331,170","Food and Staples Retailing","2019.0","2050.0","3","12,036,651 (2020)","1,070,043 (2021)","15,493,599 (2022)","","Yes"
"Café Bar Sverige AB","5,100","50","Food and Staples Retailing","","","1","4,513 (2021)","5,280 (2022)","5,100 (2023)","","Yes"
"Camurus","239","90","","","","0","239 (2022)","","","","Yes"
"Canadian Imperial Bank","67,531","28,830","","","","0","72,641 (2020)","61,593 (2021)","67,531 (2022)","","Yes"
"Canadian Natural Resources","150,340,000","30,420","","","","0","158,410,000 (2021)","150,340,000 (2022)","","","Yes"
"Capital One","341,574","41,330","","","","0","503,477 (2020)","326,371 (2021)","341,574 (2022)","","Yes"
"Cargotec","6,520,500","4,945","Electrical Equipment and Machinery","","","1","5,134,200 (2020)","5,619,000 (2021)","6,256,200 (2022)","6,520,500 (2023)","Yes"
"Carlsberg Group","308,000","10,685","Food and Beverage Processing","","","2","570,000 (2020)","7,417,000 (2019)","608,000 (2021)","5,517,000 (2022)","Yes"
"Castellum AB","86,249","925","Real Estate","","","1","332,061 (2017)","275,830 (2019)","294,450 (2020)","91,899 (2021)","Yes"
"Catella","492","239","","","","0","492 (2022)","","","","Yes"
"Catena AB","409","170","Real Estate","","","1","192 (2022)","409 (2023)","","","Yes"
"Caterpillar","7,670,000","61,700","","","","0","1,530,000 (2020)","7,480,000 (2021)","7,670,000 (2022)","","Yes"
"Centene","154,522","111,100","","","","0","154,522 (2020)","","","","Yes"
"Charter Communications","2,442,564","54,480","","","","0","2,441,315 (2021)","2,442,564 (2022)","","","Yes"
"China Citic Bank","158,529","55,180","","","","0","825,869 (2021)","158,529 (2022)","","","Yes"
"China Construction Bank","1,682,812","203,080","","","","0","351,076 (2020)","1,643,454 (2021)","1,682,812 (2022)","","Yes"
"China Everbright Bank","11,214,005","37,100","","","","0","11,214,005 (2020)","","","","Yes"
"China Evergrande Group","277,362","74,000","","","","0","277,362 (2020)","","","","Yes"
"China Life Insurance","708,241","124,430","","","","0","1,062,662 (2021)","708,241 (2022)","","","Yes"
"China Merchants Bank","258,000","72,440","","","","0","9,591 (2020)","243,000 (2021)","258,000 (2022)","","Yes"
"China Minsheng Bank","84,327","45,010","","","","0","79,766 (2020)","82,094 (2021)","84,327 (2022)","","Yes"
"China Mobile","34,460,000","140,530","","","","0","18,180,000 (2020)","33,820,000 (2021)","34,460,000 (2022)","","Yes"
"China Pacific Insurance","82,766","68,070","","","","0","105,924 (2021)","82,766 (2022)","","","Yes"
"China Shenhua Energy","176,400,000","51,980","","","","0","134,900,000 (2020)","176,400,000 (2022)","","","Yes"
"China State Construction Engineering","118,426","303,780","","","","0","67,350 (2020)","104,258 (2021)","118,426 (2022)","","Yes"
"China Telecom","15,770,000","70,290","","","","0","13,760,000 (2020)","15,460,000 (2021)","15,770,000 (2022)","","Yes"
"China Vanke","206,575","71,420","","","","0","206,575 (2021)","","","","Yes"
"Chubb","86,365","40,950","","","","0","51,701 (2020)","86,365 (2021)","","","Yes"
"Cibus Nordic Real Estate AB (publ)","26,883","","Real Estate","","","1","26,883 (2023)","","","","Yes"
"Cigna","111,959","182,800","","","","0","113,929 (2021)","111,959 (2022)","","","Yes"
"Cisco Systems, Inc.","18,436,608","53,160","Technology Hardware and Equipment","2019.0","2040.0","3","20,957,827 (2020)","20,996,668 (2021)","18,436,608 (2022)","","Yes"
"Citigroup","574,340","120,420","","","","0","548,289 (2020)","504,020 (2021)","574,340 (2022)","","Yes"
"Clas Ohlson AB (publ)","10,483.6","895","Consumer Durables, Household and Personal Products","","","0","11,421.2 (2021)","10,483.6 (2022)","","","Yes"
"Cloetta AB","282,718","783","Food and Beverage Processing","","","1","292,466 (2022)","282,718 (2023)","","","Yes"
"Coloplast A/S","179,400","3,469","Healthcare Equipment and Supplies","","","2","167,400 (2018)","154,500 (2020)","165,300 (2021)","179,400 (2022)","Yes"
"Comcast","1,977,831","120,110","Telecommunication Services","","","0","2,290,084 (2020)","2,071,035 (2021)","1,977,831 (2022)","","Yes"
"Commonwealth Bank","137,661","25,330","","","","0","173,508 (2020)","151,861 (2021)","137,661 (2022)","","Yes"
"ConocoPhillips","6,448,689","75,200","","","","0","6,436,302 (2021)","6,448,689 (2022)","","","Yes"
"Contemporary Amperex Technology","3,408,278","53,660","","","","0","2,262,742 (2021)","3,408,278 (2022)","","","Yes"
"Convini Sverige AB","593","74","Food and Staples Retailing","","","1","593 (2022)","","","","Yes"
"Coor Service Management Holding AB","3,371","1,173","Trading Companies and Distributors, and Commercial Services and Supplies","2018.0","2040.0","4","3,702 (2022)","3,371 (2023)","","","Yes"
"Country Garden Holdings","334,232","67,300","","","","0","334,232 (2020)","","","","Yes"
"Credit Suisse Group","115,776","32,600","Banks, Diverse Financials, Insurance","","","0","115,776 (2020)","","","","Yes"
"DBS","72,580","16,110","","","","0","54,724 (2020)","55,358 (2021)","72,580 (2022)","","Yes"
"DSV A / S","12,652,000","21,894","Air Freight Transportation and Logistics","","","1","11,465,000 (2020)","8,887,000 (2019)","15,373,000 (2021)","15,930,000 (2022)","Yes"
"Daimler","2,519,000","175,900","","","","0","2,519,000 (2020)","","","","Yes"
"Danaher Corporation","347,849","30,950","Pharmaceuticals, Biotechnology and Life Sciences","","","0","312,770 (2020)","337,469 (2021)","347,849 (2022)","","Yes"
"Danone","26,121,000","26,900","Food and Beverage Processing","2020.0","2050.0","4","26,121,000 (2020)","","","","Yes"
"Danske Bank","9,292","7,615","Banks, Diverse Financials, Insurance","","","0","10,398 (2020)","17,301 (2019)","7,400 (2021)","8,362 (2022)","Yes"
"Deere & Company","98,069,700","105,570","Electrical Equipment and Machinery","","","1","840,500 (2020)","39,371,000 (2021)","98,069,700 (2022)","","Yes"
"Dell Technologies","29,195,100","101,560","Technology Hardware and Equipment","2020.0","2051.0","3","23,534,000 (2021)","29,195,100 (2022)","","","Yes"
"Demant A/S","823,775","3,259","Healthcare Providers and Services, and Healthcare Technology","2019.0","2050.0","3","541,387 (2020)","553,100 (2019)","689,360 (2021)","727,296 (2022)","Yes"
"Deutsche Bank","74,299","44,540","","","","0","72,897 (2021)","74,299 (2022)","","","Yes"
"Deutsche Post","36,460,000","96,470","","","","1","33,640,000 (2020)","39,360,000 (2021)","36,460,000 (2022)","","Yes"
"Di Luca & Di Luca AB","12,268","120","Food and Beverage Processing","","","1","11,579 (2020)","12,499 (2021)","12,268 (2022)","","Yes"
"Diab International AB","70,488","159","Building Products","2022.0","2050.0","6","122,983 (2021)","99,189 (2022)","70,488 (2023)","","Yes"
"Diös Fastigheter","6,600","219","Real Estate","","","1","6,086 (2021)","6,600 (2022)","","","Yes"
"Dometic Group","55,370","2,846","","","","0","55,370 (2022)","","","","Yes"
"Dormy Golf & Fashion AB","20,515","106","Retailing","","","1","20,515 (2021)","","","","Yes"
"Doro","1,524","88","","","","0","1,524 (2022)","","","","Yes"
"Dow","102,356,630","38,500","","","","0","102,356,630 (2020)","","","","Yes"
"Duke Energy","107,827,000","25,100","","","","0","107,827,000 (2021)","","","","Yes"
"Duni Group","600,458","670","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","2019.0","2050.0","3","600,458 (2022)","","","","Yes"
"Dustin Group","1,433,679","2,413","","","","0","1,433,679 (2022)","","","","Yes"
"E.ON","89,340,000","121,560","","","","0","116,624,228 (2020)","111,190,000 (2021)","89,340,000 (2022)","","Yes"
"EDF Group","135,300,000","78,700","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","","","1","135,300,000 (2020)","","","","Yes"
"EG Electronics AB","638","29","Trading Companies and Distributors, and Commercial Services and Supplies","","","1","638 (2023)","","","","Yes"
"EH Group AB","48,488","308","","","","0","6,484 (2020)","48,488 (2021)","","","Yes"
"EOG Resources","111,210,000","28,430","","","","0","5,400,000 (2021)","111,210,000 (2022)","","","Yes"
"EQT AB","24,340","2,256","Banks, Diverse Financials, Insurance","","","2","6,360 (2021)","18,189 (2022)","24,340 (2023)","","Yes"
"Eastnine AB (publ)","8,589","37","","","","0","8,589 (2022)","","","","Yes"
"Ecolean","47,431","104","Containers and Packaging","","","1","49,083 (2020)","55,011 (2021)","47,431 (2022)","","Yes"
"Einar Mattsson AB","26,681","151","Real Estate","","","1","42,732 (2020)","19,062 (2021)","26,681 (2022)","","Yes"
"Elanders AB","231,981","1,308","Trading Companies and Distributors, and Commercial Services and Supplies","","","0","257,466 (2022)","231,981 (2023)","","","Yes"
"Electrolux Group","69,000","12,679","Consumer Durables, Household and Personal Products","2021.0","2050.0","4","199,000 (2019)","112,000 (2020)","103,000 (2021)","83,000 (2022)","Yes"
"Elekta AB","508,029","1,673","Healthcare Equipment and Supplies","","","3","577,679 (2021)","508,029 (2022)","","","Yes"
"Elevance Health","4,920,753","160,670","","","","2","4,920,753 (2022)","","","","Yes"
"Eli Lilly","3,765,000","27,690","","","","0","886,000 (2020)","3,632,000 (2021)","3,765,000 (2022)","","Yes"
"Elisa Corporation","274,558","2,360","Telecommunication Services","2021.0","2040.0","3","186,125 (2020)","247,216 (2021)","268,443 (2022)","274,558 (2023)","Yes"
"Eltel AB","126,617","920","Telecommunication Services","","","2","108,628 (2022)","126,617 (2023)","","","Yes"
"Embracer Group AB","687,102","3,777","Software and Services","","","1","682,489 (2021)","687,102 (2022)","","","Yes"
"Enbridge","68,534,000","41,270","","","","0","60,157,400 (2020)","111,054 (2021)","68,534,000 (2022)","","Yes"
"Enea","874","92","","","","0","874 (2022)","","","","Yes"
"Enel SpA","95,573,000","103,440","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","2017.0","2040.0","3","128,660,000 (2021)","129,210,000 (2022)","95,573,000 (2023)","","Yes"
"Eni","228,420,000","","","","","0","267,790,000 (2019)","243,890,000 (2020)","216,890,000 (2021)","218,680,000 (2022)","Yes"
"Epiroc AB","5,780,000","5,775","Electrical Equipment and Machinery","","","1","5,459,000 (2019)","3,925,000 (2020)","4,940,000 (2021)","5,303,000 (2022)","Yes"
"Equinor","268,790,000","","","","","0","267,510,000 (2021)","260,750,000 (2022)","268,790,000 (2023)","","Yes"
"Ericsson Group","37,251,437","24,834","Technology Hardware and Equipment","2020.0","2040.0","3","28,118,864 (2021)","30,928,019 (2022)","37,251,437 (2023)","","Yes"
"Essity AB","2,476,000","13,876","Consumer Durables, Household and Personal Products","2016.0","2050.0","3","7,755,000 (2016)","3,042,000 (2019)","6,976,000 (2020)","6,974,000 (2021)","Yes"
"Eton Group AB","19,421","101","Textiles, Apparel, Footwear and Luxury Goods","","","1","19,421 (2022)","","","","Yes"
"Evolution","7,373","170","","","","0","5,481 (2022)","7,373 (2023)","","","Yes"
"ExxonMobil","643,000,000","393,160","","","","0","103,000,000 (2021)","643,000,000 (2022)","","","Yes"
"Fabege AB","14,969","371","Real Estate","","","1","30,716 (2022)","14,969 (2023)","","","Yes"
"Facebook","4,067,000","85,965","","","","0","4,330,000 (2019)","4,067,000 (2020)","","","Yes"
"Fagerhult Group","1,166,952","807","Electrical Equipment and Machinery","2021.0","2045.0","3","1,526,490 (2021)","1,521,500 (2022)","1,166,952 (2023)","","Yes"
"Fastighets AB Balder","241,377","1,126","Real Estate","2022.0","2045.0","3","254,878 (2022)","241,377 (2023)","","","Yes"
"Fastpartner AB","15,887","191","Real Estate","2021.0","2045.0","3","15,887 (2022)","","","","Yes"
"FedEx","22,247,332","92,620","","","","0","19,414,171 (2020)","21,448,385 (2021)","22,247,332 (2022)","","Yes"
"Foodmark AB","43,075","94","Food and Beverage Processing","","","4","45,118 (2020)","43,593 (2021)","43,075 (2022)","","Yes"
"Ford Motor Company","337,800,000","165,060","Automobiles and Components","","","1","302,970,000 (2021)","337,800,000 (2022)","","","Yes"
"Fortnox","2,446","155","","","","0","1,078 (2021)","370 (2022)","2,446 (2023)","","Yes"
"Fortum Corporation","14,325,600","7,264","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","","","0","31,724,100 (2021)","11,733,700 (2022)","14,325,600 (2023)","","Yes"
"Foxway Group AB","341,812","584","Trading Companies and Distributors, and Commercial Services and Supplies","2022.0","2050.0","3","341,812 (2022)","","","","Yes"
"Fresenius","1,521,000","41,400","","","","0","1,521,000 (2020)","","","","Yes"
"Fubon Financial","53,752","35,200","","","","0","53,752 (2020)","","","","Yes"
"GANT Holding AB","96,725","","","","","0","83,000 (2020)","80,893 (2021)","96,725 (2022)","","Yes"
"GN Store Nord A/S","350,645","2,631","Consumer Durables, Household and Personal Products","","","1","440,749 (2021)","465,037 (2022)","350,645 (2023)","","Yes"
"GSK","645,000","37,725","Pharmaceuticals, Biotechnology and Life Sciences","2020.0","2045.0","3","10,829,000 (2020)","9,388,000 (2021)","9,709,000 (2022)","645,000 (2023)","Yes"
"General Electric","10,401,708","74,020","","","","0","2,080,000 (2020)","10,893,605 (2021)","10,401,708 (2022)","","Yes"
"Generali","146,333","32,030","","","","0","120,999 (2020)","147,303 (2021)","146,333 (2022)","","Yes"
"Genexis Group","20,371","36","Software and Services","2022.0","2050.0","3","20,371 (2022)","","","","Yes"
"Genmab","555","2,392","","","","0","639 (2021)","147,721 (2022)","555 (2023)","","Yes"
"Genova Property Group AB","2,427","47","Real Estate","","","1","1,417.5 (2021)","1,239 (2022)","2,427 (2023)","","Yes"
"Getinge AB","4,509","2,999","Healthcare Equipment and Supplies","2021.0","2050.0","3","18,741 (2020)","14,669 (2021)","8,176 (2022)","4,509 (2023)","Yes"
"Gilead Sciences, Inc.","111,338","27,370","Pharmaceuticals, Biotechnology and Life Sciences","","","1","111,338 (2021)","","","","Yes"
"Gina Tricot","46,915","98","Retailing","","","1","37,345 (2020)","51,246 (2021)","46,915 (2022)","","Yes"
"Glencore","432,808,160","217,829","","","","0","553,653,679 (2019)","440,792,002 (2020)","441,847,548 (2021)","397,489,629 (2022)","Yes"
"Godsinlösen Nordic AB","373","20","Trading Companies and Distributors, and Commercial Services and Supplies","2021.0","2050.0","3","373 (2021)","","","","Yes"
"Goldman Sachs Group","227,364","79,450","","","","0","180,296 (2020)","180,913 (2021)","227,364 (2022)","","Yes"
"Google","10,326,109","181,690","","","","0","12,529,953 (2019)","10,326,109 (2020)","","","Yes"
"Greenfood AB","36,627","525","Food and Beverage Processing","","","1","40,238 (2021)","36,627 (2022)","","","Yes"
